n_docs,tiles_doc_mean,tiles_doc_std,len_wp_mean,len_wp_max,tile_len_25,tile_len_50,tile_len_95,tile_len_99,edge_median,edge_p25,edge_p75,depth_median,depth_p25,depth_p75,cutoff_policy,w,k,smoothing_width,smoothing_rounds,wall_sec
4983,12.907485450531809,21.959526883559402,230.04600578376193,513,147.0,209.0,453.0,512.0,0.833984375,0.8046875,0.87158203125,0.031086565926671028,0.0,0.14493168890476227,HC,25,6,4,2,187.0269649028778
4983,13.015853903271122,21.974241700741924,228.13054673286257,513,144.0,201.0,462.0,512.0,0.83447265625,0.80517578125,0.87109375,0.033046916127204895,0.0,0.149896502494812,HC,25,7,4,2,193.96369910240173
4992,15.378004807692308,26.607477775680096,192.76271053968503,513,117.0,170.0,399.0,512.0,0.83837890625,0.80810546875,0.88134765625,0.035385821014642715,0.0,0.15030501782894135,HC,20,8,4,2,233.84162163734436
4992,15.269030448717949,26.625269696281272,194.138396546974,513,118.0,174.0,393.0,512.0,0.8369140625,0.8076171875,0.8798828125,0.03190532326698303,0.0,0.1431780457496643,HC,20,7,4,2,243.62093782424927
4983,12.907485450531809,21.959526883559402,230.04600578376193,513,147.0,209.0,453.0,512.0,0.833984375,0.8046875,0.87158203125,0.031086565926671028,0.0,0.14493168890476227,LC,25,6,4,2,208.4107255935669
4983,13.015853903271122,21.974241700741924,228.13054673286257,513,144.0,201.0,462.0,512.0,0.83447265625,0.80517578125,0.87109375,0.033046916127204895,0.0,0.149896502494812,LC,25,7,4,2,206.97683787345886
