sample_size,n_docs,tiles_doc_mean,tiles_doc_std,len_wp_mean,len_wp_max,tile_len_25,tile_len_50,tile_len_95,tile_len_99,edge_median,edge_p25,edge_p75,depth_median,depth_p25,depth_p75
100,98.0,14.10204081632653,25.515697367730308,244.6628075253256,2387.0,146.25,204.0,469.0,840.8000000000011,0.83544921875,0.80419921875,0.8739013671875,0.03700632229447365,0.0,0.1643211841583252
500,497.0,13.374245472837021,23.201956065723405,243.10019557695202,10762.0,148.0,203.0,465.6999999999998,870.1599999999999,0.83349609375,0.80419921875,0.86962890625,0.03390587493777275,0.0,0.15480203926563263
1000,993.0,12.950654582074522,22.654162078765093,238.58071539657854,10762.0,146.0,200.0,456.0,796.0,0.8330078125,0.80419921875,0.86865234375,0.0339871421456337,0.0,0.15436062216758728
5000,4983.0,12.413806943608268,20.865964315209304,239.19329755245886,16831.0,145.0,201.0,458.0,776.4300000000003,0.8330078125,0.80419921875,0.8671875,0.032484058290719986,0.0,0.15007582306861877
10000,9958.0,12.431612773649327,21.2429280750402,239.2473787097921,19780.0,145.0,201.0,458.0,768.0,0.8330078125,0.80419921875,0.8671875,0.03222481906414032,0.0,0.14944562315940857
20000,19910.0,12.434957307885485,21.484992098446344,239.69201470231843,21119.0,145.0,201.0,459.0,769.2099999999919,0.8330078125,0.80419921875,0.8671875,0.03229653835296631,0.0,0.14891183376312256
50000,49780.0,12.572197669746886,21.697452847183328,240.3017828724091,22350.0,145.0,201.0,460.0,779.0,0.8330078125,0.80419921875,0.86767578125,0.03260261192917824,0.0,0.1492089331150055
100000,99561.0,12.51989232731692,21.481854719583364,240.7466796845229,23990.0,146.0,201.0,460.0,790.0,0.8330078125,0.80419921875,0.8671875,0.03246963024139404,0.0,0.14888346195220947
